Region,GSS_CODE,change,2019,,,attraction,arts_centre,museum,,Change of Airbnb listings count
City of London,E09000001,20,462,0.043290043,,11,1,6,,-20
Barking and Dagenham,E09000002,-18,383,-0.046997389,,1,1,3,,18
Barnet,E09000003,81,1682,0.048156956,,1,1,1,,-81
Bexley,E09000004,-25,244,-0.102459016,,1,1,1,,25
Brent,E09000005,289,2609,0.11077041,,1,1,1,,-289
Bromley,E09000006,79,671,0.117734724,,4,1,3,,-79
Camden,E09000007,890,6119,0.145448603,,14,8,12,,-890
Croydon,E09000008,18,1104,0.016304348,,1,1,1,,-18
Ealing,E09000009,125,1809,0.06909895,,2,1,1,,-125
Enfield,E09000010,-7,687,-0.010189229,,2,2,1,,7
Greenwich,E09000011,86,1687,0.050978068,,7,2,13,,-86
Hackney,E09000012,664,6325,0.104980237,,6,1,1,,-664
Hammersmith and Fulham,E09000013,684,4227,0.161816891,,1,2,3,,-684
Haringey,E09000014,110,2248,0.048932384,,1,4,3,,-110
Harrow,E09000015,34,483,0.070393375,,1,1,3,,-34
Havering,E09000016,5,257,0.019455253,,1,1,2,,-5
Hillingdon,E09000017,15,650,0.023076923,,2,1,1,,-15
Hounslow,E09000018,42,1072,0.039179104,,10,1,5,,-42
Islington,E09000019,723,5176,0.139683153,,1,3,2,,-723
Kensington and Chelsea,E09000020,831,6102,0.136184857,,11,1,8,,-831
Kingston upon Thames,E09000021,43,553,0.077757685,,3,1,1,,-43
Lambeth,E09000022,560,4955,0.113017154,,6,5,5,,-560
Lewisham,E09000023,139,2331,0.05963106,,1,1,2,,-139
Merton,E09000024,111,1370,0.081021898,,1,2,4,,-111
Newham,E09000025,160,1988,0.080482897,,7,2,1,,-160
Redbridge,E09000026,39,727,0.053645117,,1,1,1,,-39
Richmond upon Thames,E09000027,63,1201,0.052456286,,5,3,3,,-63
Southwark,E09000028,631,2956,0.213464141,,7,7,9,,-631
Sutton,E09000029,12,311,0.038585209,,1,1,1,,-12
Tower Hamlets,E09000030,1591,8436,0.188596491,,6,7,7,,-1591
Waltham Forest,E09000031,112,1480,0.075675676,,2,1,3,,-112
Wandsworth,E09000032,364,4314,0.084376449,,4,1,1,,-364
Westminster,E09000033,1378,9830,0.140183113,,60,5,11,,-1378
